"d [mm]","Freq [GHz]","dB(S(1,1)) []"
4,1.314,-0.468536741268992
4,1.32,-0.47210395605714
4,1.326,-0.475690839768693
4,1.332,-0.479297390905716
4,1.338,-0.482923619349709
4,1.344,-0.486569546531999
4,1.35,-0.490235205615616
4,1.356,-0.493920641689021
4,1.362,-0.497625911971992
4,1.368,-0.501351086034048
4,1.374,-0.505096246025791
4,1.38,-0.508861486923586
4,1.386,-0.512646916788061
4,1.392,-0.516452657036793
4,1.398,-0.520278842731807
4,1.404,-0.524125622882325
4,1.41,-0.527993160763399
4,1.416,-0.531881634250954
4,1.422,-0.535791236173955
4,1.428,-0.539722174684308
4,1.434,-0.543674673645256
4,1.44,-0.54764897303898
4,1.446,-0.551645329394247
4,1.452,-0.555664016234938
4,1.458,-0.559705324550329
4,1.464,-0.563769563288119
4,1.47,-0.567857059871189
4,1.476,-0.571968160739126
4,1.482,-0.576103231915699
4,1.488,-0.580262659603427
4,1.494,-0.584446850806522
4,1.5,-0.588656233983549
4,1.506,-0.592891259731198
4,1.512,-0.597152401500659
4,1.518,-0.601440156348248
4,1.524,-0.605755045721865
4,1.53,-0.610097616285133
4,1.536,-0.614468440781082
4,1.542,-0.618868118937376
4,1.548,-0.623297278415191
4,1.554,-0.627756575804008
4,1.56,-0.632246697664677
4,1.566,-0.636768361623305
4,1.572,-0.641322317518624
4,1.578,-0.645909348605694
4,1.584,-0.650530272818963
4,1.59,-0.655185944097902
4,1.596,-0.65987725377858
4,1.602,-0.66460513205487
4,1.608,-0.669370549513076
4,1.614,-0.674174518744108
4,1.62,-0.679018096037541
4,1.626,-0.683902383162257
4,1.632,-0.688828529238494
4,1.638,-0.693797732706666
4,1.644,-0.698811243398523
4,1.65,-0.703870364716573
4,1.656,-0.708976455928246
4,1.662,-0.714130934581453
4,1.668,-0.719335279048891
4,1.674,-0.724591031208808
4,1.68,-0.729899799270461
4,1.686,-0.735263260753147
4,1.692,-0.740683165628171
4,1.698,-0.746161339633954
4,1.704,-0.751699687774966
4,1.71,-0.757300198016126
4,1.716,-0.762964945184993
4,1.722,-0.76869609509505
4,1.728,-0.774495908904249
4,1.734,-0.780366747724101
4,1.74,-0.78631107749562
4,1.746,-0.792331474149708
4,1.752,-0.798430629070776
4,1.758,-0.804611354883885
4,1.764,-0.810876591587185
4,1.77,-0.817229413052953
4,1.776,-0.823673033922562
4,1.782,-0.830210816922357
4,1.788,-0.836846280629692
4,1.794,-0.843583107720599
4,1.8,-0.850425153732984
4,1.806,-0.857376456381941
4,1.812,-0.864441245466717
4,1.818,-0.871623953411934
4,1.824,-0.87892922648918
4,1.83,-0.886361936768783
4,1.836,-0.893927194855651
4,1.842,-0.901630363467493
4,1.848,-0.909477071918591
4,1.854,-0.917473231577516
4,1.86,-0.925625052372978
4,1.866,-0.93393906042822
4,1.872,-0.942422116911328
4,1.878,-0.951081438196157
4,1.884,-0.959924617436951
4,1.89,-0.968959647668555
4,1.896,-0.978194946554026
4,1.902,-0.987639382912104
4,1.908,-0.997302305168909
4,1.914,-1.00719357189096
4,1.92,-1.01732358457093
4,1.926,-1.02770332285299
4,1.932,-1.03834438240153
4,1.938,-1.04925901563608
4,1.944,-1.06046017557526
4,1.95,-1.07196156305574
4,1.956,-1.08377767761644
4,1.962,-1.09592387236593
4,1.968,-1.10841641318037
4,1.974,-1.1212725426129
4,1.98,-1.13451054893093
4,1.986,-1.14814984073806
4,1.992,-1.16221102768068
4,1.998,-1.17671600778755
4,2.004,-1.19168806204343
4,2.01,-1.20715195685544
4,2.016,-1.22313405513474
4,2.022,-1.23966243678536
4,2.028,-1.25676702946855
4,2.034,-1.27447975059401
4,2.04,-1.29283466158064
4,2.046,-1.31186813552818
4,2.052,-1.33161903954889
4,2.058,-1.35212893312481
4,2.064,-1.37344228398202
4,2.07,-1.39560670310796
4,2.076,-1.41867320068202
4,2.082,-1.44269646484237
4,2.088,-1.46773516537152
4,2.094,-1.49385228454976
4,2.1,-1.52111547759397
4,2.106,-1.54959746526885
4,2.112,-1.57937646141972
4,2.118,-1.61053663832606
4,2.124,-1.64316863290113
4,2.13,-1.67737009685169
4,2.136,-1.71324629394563
4,2.142,-1.75091074748834
4,2.148,-1.79048594094985
4,2.154,-1.83210407436985
4,2.16,-1.87590787864291
4,2.166,-1.9220514889756
4,2.172,-1.97070137761841
4,2.178,-2.02203734428157
4,2.184,-2.07625356028639
4,2.19,-2.13355965927327
4,2.196,-2.1941818629153
4,2.202,-2.25836412422598
4,2.208,-2.32636926325622
4,2.214,-2.39848005967638
4,2.22,-2.4750002532078
4,2.226,-2.55625538517304
4,2.232,-2.64259339140517
4,2.238,-2.73438482691577
4,2.244,-2.83202256423589
4,2.25,-2.93592075795616
4,2.256,-3.04651280497924
4,2.262,-3.16424795015688
4,2.268,-3.28958608669406
4,2.274,-3.42299017614292
4,2.28,-3.56491556043028
4,2.286,-3.71579525585449
4,2.292,-3.87602010702832
4,2.298,-4.04591244407266
4,2.304,-4.22569164690309
4,2.31,-4.41542981352561
4,2.316,-4.61499562413014
4,2.322,-4.82398460854071
4,2.328,-5.04163455318605
4,2.334,-5.26672601413363
4,2.34,-5.49747023361508
4,2.346,-5.73139067028201
4,2.352,-5.96521029185972
4,2.358,-6.19476485595447
4,2.364,-6.41497186157041
4,2.37,-6.61989329569395
4,2.376,-6.80293303301959
4,2.382,-6.95720005477847
4,2.388,-7.07604023853585
4,2.394,-7.15369170287154
4,2.4,-7.18596265609567
4,2.406,-7.17079035643614
4,2.412,-7.1085421943296
4,2.418,-7.00197641642853
4,2.424,-6.85587261162574
4,2.43,-6.67643021279508
4,2.436,-6.47057924702517
4,2.442,-6.24533953990041
4,2.448,-6.00731862059459
4,2.454,-5.76238248912698
4,2.46,-5.51548896713353
4,2.466,-5.2706489441548
4,2.472,-5.0309741655673
4,2.478,-4.79877456691088
4,2.484,-4.57567711734637
4,2.49,-4.36274747792513
4,2.496,-4.16060349839699
4,2.502,-3.96951513401666
4,2.508,-3.78948896925658
4,2.514,-3.62033765228015
4,2.52,-3.46173564072158
4,2.526,-3.31326311209706
4,2.532,-3.17443996929686
4,2.538,-3.04475174952656
4,2.544,-2.92366903261005
4,2.55,-2.81066170480888
4,2.556,-2.70520920117528
4,2.562,-2.60680763919722
4,2.568,-2.51497457517776
4,2.574,-2.4292519629461
4,2.58,-2.34920776989579
4,2.586,-2.27443660460459
4,2.592,-2.2045596297561
4,2.598,-2.13922397027344
4,2.604,-2.07810177638811
4,2.61,-2.02088906214393
4,2.616,-1.9673044093562
4,2.622,-1.91708760348988
4,2.628,-1.86999824981275
4,2.634,-1.82581440433959
4,2.64,-1.78433124356954
4,2.646,-1.74535978908838
4,2.652,-1.70872569717423
4,2.658,-1.6742681191503
4,2.664,-1.6418386350137
4,2.67,-1.61130026055478
4,2.676,-1.58252652655208
4,2.682,-1.55540062751413
4,2.688,-1.52981463671338
4,2.694,-1.50566878381879
4,2.7,-1.48287079120683
4,2.706,-1.46133526495667
4,2.712,-1.44098313657072
4,2.718,-1.4217411515728
4,2.724,-1.40354140129755
4,2.73,-1.38632089437791
4,2.736,-1.37002116464913
4,2.742,-1.35458791240661
4,2.748,-1.3399706761749
4,2.754,-1.32612253236074
4,2.76,-1.31299982037046
4,2.766,-1.30056189096986
4,2.772,-1.2887708758506
4,2.778,-1.27759147654121
4,2.784,-1.26699077096275
4,2.79,-1.25693803607836
4,2.796,-1.24740458522399
4,2.802,-1.23836361883386
4,2.808,-1.22979008739027
4,2.814,-1.22166056553279
4,2.82,-1.21395313635887
4,2.826,-1.20664728503545
4,2.832,-1.19972380092138
4,2.838,-1.19316468747294
4,2.844,-1.18695307927123
4,2.85,-1.1810731655696
4,2.856,-1.17551011981432
4,2.862,-1.17025003464065
4,2.868,-1.16527986189154
4,2.874,-1.16058735724688
4,2.88,-1.1561610290879
4,2.886,-1.1519900912551
4,2.892,-1.14806441938845
4,2.898,-1.14437451056605
4,2.904,-1.14091144598277
4,2.91,-1.1376668564331
4,2.916,-1.13463289038327
4,2.922,-1.13180218443644
4,2.928,-1.12916783601225
4,2.934,-1.12672337807731
4,2.94,-1.124462755778
4,2.946,-1.12238030483961
4,2.952,-1.12047073160799
4,2.958,-1.11872909462089
4,2.964,-1.11715078760591
4,2.97,-1.11573152381158
4,2.976,-1.11446732158618
4,2.982,-1.11335449112699
4,2.988,-1.11238962232957
4,2.994,-1.11156957367369
4,3,-1.11089146208829
4,3.006,-1.11035265374387
4,3.012,-1.1099507557261
4,3.018,-1.10968360854917
4,3.024,-1.10954927947233
4,3.03,-1.10954605658765
4,3.036,-1.10967244365085
4,3.042,-1.10992715563148
4,3.048,-1.11030911496242
4,3.054,-1.1108174484724
4,3.06,-1.11145148498885
4,3.066,-1.11221075360209
4,3.072,-1.11309498258518
4,3.078,-1.11410409896728
4,3.084,-1.11523822876191
4,3.09,-1.11649769785502
4,3.096,-1.11788303356104
4,3.102,-1.11939496685925
4,3.108,-1.12103443532596
4,3.114,-1.12280258678241
4,3.12,-1.12470078368193
4,3.126,-1.12673060826442
4,3.132,-1.12889386851066
4,3.138,-1.1311926049336
4,3.144,-1.13362909824912
4,3.15,-1.13620587797389
4,3.156,-1.13892573200414
4,3.162,-1.14179171723523
4,3.168,-1.14480717128887
4,3.174,-1.14797572542221
4,3.18,-1.15130131870116
4,3.186,-1.15478821352903
4,3.192,-1.15844101263113
4,3.198,-1.16226467760667
4,3.204,-1.16626454917074
4,3.21,-1.17044636922146
4,3.216,-1.17481630488197
4,3.222,-1.17938097468141
4,3.228,-1.18414747705641
4,3.234,-1.18912342137288
4,3.24,-1.19431696168813
4,3.246,-1.19973683349638
4,3.252,-1.20539239372476
4,3.258,-1.2112936642752
4,3.264,-1.21745137943708
4,3.27,-1.2238770375295
4,3.276,-1.23058295716876
4,3.282,-1.23758233859736
4,3.288,-1.24488933055605
4,3.294,-1.25251910323013
4,3.3,-1.26048792785586
4,3.306,-1.26881326363373
4,3.312,-1.27751385266133
4,3.318,-1.2866098236723
4,3.324,-1.29612280544785
4,3.33,-1.30607605085535
4,3.336,-1.31649457256484
4,3.342,-1.32740529159862
4,3.348,-1.33883719998286
4,3.354,-1.35082153889234
4,3.36,-1.3633919938108
4,3.366,-1.37658490836878
4,3.372,-1.39043951866758
4,3.378,-1.40499821005041
4,3.384,-1.42030679843708
4,3.39,-1.43641483849238
4,3.396,-1.45337596104639
4,3.402,-1.47124824231691
4,3.408,-1.49009460759185
4,3.414,-1.50998327209526
4,3.42,-1.53098822176616
4,3.426,-1.55318973659662
4,3.432,-1.57667495896887
4,3.438,-1.60153850905291
4,3.444,-1.62788314871388
4,3.45,-1.6558204944505
4,3.456,-1.68547177853577
4,3.462,-1.71696865562079
4,3.468,-1.75045404941494
4,3.474,-1.78608303044086
4,3.48,-1.82402371099179
4,3.486,-1.8644581369202
4,3.492,-1.90758314729863
4,3.498,-1.95361116173566
4,3.504,-2.00277084049226
4,3.51,-2.05530754366278
4,3.516,-2.11148349153538
4,3.522,-2.17157749764666
4,3.528,-2.23588410767931
4,3.534,-2.30471192985557
4,3.54,-2.37838088458538
4,3.546,-2.45721803194496
4,3.552,-2.54155155503299
4,3.558,-2.63170238689451
4,3.564,-2.72797287273621
4,3.57,-2.8306317661578
4,3.576,-2.93989478335658
4,3.582,-3.05589990774182
4,3.588,-3.17867668763582
4,3.594,-3.30810895764023
4,3.6,-3.44389081596104
6,1.2,-0.326085880243007
6,1.206,-0.327992839551624
6,1.212,-0.329910451631555
6,1.218,-0.331838665546259
6,1.224,-0.333777436253803
6,1.23,-0.335726724648177
6,1.236,-0.33768649760606
6,1.242,-0.33965672803904
6,1.248,-0.341637394951462
6,1.254,-0.343628483503883
6,1.26,-0.345629985082291
6,1.266,-0.347641897373146
6,1.272,-0.349664224444387
6,1.278,-0.351696976832495
6,1.284,-0.353740171635765
6,1.29,-0.355793832613927
6,1.296,-0.357857990294275
6,1.302,-0.359932682084456
6,1.308,-0.362017952392127
6,1.314,-0.364113852751649
6,1.32,-0.36622044195805
6,1.326,-0.368337786208455
6,1.332,-0.370465959251257
6,1.338,-0.372605042543227
6,1.344,-0.374755125414895
6,1.35,-0.376916305244447
6,1.356,-0.379088687640469
6,1.362,-0.381272386633818
6,1.368,-0.383467524879029
6,1.374,-0.385674233865579
6,1.38,-0.387892654139379
6,1.386,-0.390122935534955
6,1.392,-0.3923652374187
6,1.398,-0.394619728943696
6,1.404,-0.396886589316547
6,1.41,-0.399166008076777
6,1.416,-0.401458185389311
6,1.422,-0.403763332350615
6,1.428,-0.406081671309115
6,1.434,-0.408413436200531
6,1.44,-0.41075887289877
6,1.446,-0.413118239583194
6,1.452,-0.415491807122883
6,1.458,-0.41787985947882
6,1.464,-0.420282694124803
6,1.47,-0.422700622487938
6,1.476,-0.425133970409774
6,1.482,-0.42758307862897
6,1.488,-0.430048303286659
6,1.494,-0.432530016455576
6,1.5,-0.435028606694185
6,1.506,-0.43754447962707
6,1.512,-0.440078058552914
6,1.518,-0.442629785081541
6,1.524,-0.445200119801465
6,1.53,-0.447789542979627
6,1.536,-0.450398555294987
6,1.542,-0.453027678607764
6,1.548,-0.455677456766275
6,1.554,-0.458348456453411
6,1.56,-0.461041268074901
6,1.566,-0.463756506691677
6,1.572,-0.466494812998784
6,1.578,-0.469256854353473
6,1.584,-0.472043325855175
6,1.59,-0.474854951480411
6,1.596,-0.477692485275679
6,1.602,-0.480556712611736
6,1.608,-0.483448451502824
6,1.614,-0.486368553994605
6,1.62,-0.489317907624944
6,1.626,-0.492297436961777
6,1.632,-0.495308105222766
6,1.638,-0.498350915981607
6,1.644,-0.501426914966327
6,1.65,-0.50453719195517
6,1.656,-0.507682882776093
6,1.662,-0.510865171416359
6,1.668,-0.514085292249109
6,1.674,-0.517344532384296
6,1.68,-0.520644234151939
6,1.686,-0.523985797726158
6,1.692,-0.52737068389912
6,1.698,-0.53080041701467
6,1.704,-0.534276588072131
6,1.71,-0.537800858011589
6,1.716,-0.541374961192711
6,1.722,-0.545000709080228
6,1.728,-0.548679994150031
6,1.734,-0.552414794030997
6,1.74,-0.556207175898839
6,1.746,-0.560059301139519
6,1.752,-0.563973430301035
6,1.758,-0.567951928354138
6,1.764,-0.571997270283916
6,1.77,-0.576112047036025
6,1.776,-0.580298971843401
6,1.782,-0.584560886961211
6,1.788,-0.588900770840194
6,1.794,-0.593321745771072
6,1.8,-0.597827086035354
6,1.806,-0.602420226600965
6,1.812,-0.607104772404281
6,1.818,-0.611884508263873
6,1.824,-0.616763409475082
6,1.83,-0.621745653138875
6,1.836,-0.626835630283239
6,1.842,-0.632037958840441
6,1.848,-0.637357497549241
6,1.854,-0.642799360857486
6,1.86,-0.648368934907254
6,1.866,-0.654071894692501
6,1.872,-0.659914222487448
6,1.878,-0.665902227653193
6,1.884,-0.672042567940332
6,1.89,-0.678342272416625
6,1.896,-0.684808766161191
6,1.902,-0.691449896880684
6,1.908,-0.698273963618118
6,1.914,-0.705289747742099
6,1.92,-0.7125065464231
6,1.926,-0.719934208824363
6,1.932,-0.727583175258479
6,1.938,-0.735464519586519
6,1.944,-0.743589995165783
6,1.95,-0.751972084684358
6,1.956,-0.760624054256877
6,1.962,-0.769560012196149
6,1.968,-0.778794972920539
